# players4cams.py working for a while
# $ sudo vcdbg reloc - returns:

Relocatable heap version 4 found at 0x2f000000
total space allocated is 236M, with 234M relocatable, 2.3M legacy and 0 offline
1 legacy blocks of size 2359296

free list at 0x3d97c840
173M free memory in 5 free block(s)
largest free block is 173M bytes

0x2f000000: legacy block 2.3M
0x2f240000: free 173M
[ 521] 0x3a2f0a20: used  32K (refcount 1 lock count 0, size    32768, align   32, data 0x3a2f0a40, d3ruAl) 'RIL buffer'
[ 745] 0x3a2f8a60: used 178K (refcount 1 lock count 0, size   182368, align   32, data 0x3a2f8a80, d0Rual) 'Vdec3 Msgbuf'
[ 685] 0x3a325300: used 1.0M (refcount 1 lock count 0, size  1048576, align  256, data 0x3a325400, d3Rual) 'Vdec3 CDB'
[  33] 0x3a425420: used  17K (refcount 1 lock count 0, size    17424, align   32, data 0x3a425440, d0Rual) 'H264 PPS'
[ 315] 0x3a429880: used 1.4M (refcount 1 lock count 0, size  1454240, align 4096, data 0x3a42a000, d1ruAL) 'video_decodeRIL:image pool'
[ 125] 0x3a58d940: used 1.4M (refcount 1 lock count 0, size  1454240, align 4096, data 0x3a58e000, d1ruAL) 'video_decodeRIL:image pool'
[  37] 0x3a6f1a00: used 1.4M (refcount 1 lock count 0, size  1454240, align 4096, data 0x3a6f2000, d1ruAL) 'video_decodeRIL:image pool'
[  74] 0x3a855ac0: used 1.4M (refcount 2 lock count 8, size  1454240, align 4096, data 0x3a856000, d1ruaL) 'video_decodeRIL:image pool'
[  17] 0x3a9b9b80: used 1.4M (refcount 1 lock count 0, size  1454240, align 4096, data 0x3a9ba000, d1ruaL) 'video_decodeRIL:image pool'
[  27] 0x3ab1dc40: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3ab1dc60, d1ruAl) 'RIL buffer'
[ 402] 0x3ab31c80: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3ab31ca0, d1ruAl) 'RIL buffer'
[ 594] 0x3ab45cc0: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3ab45ce0, d1ruAl) 'RIL buffer'
[ 716] 0x3ab59d00: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3ab59d20, d1ruAl) 'RIL buffer'
[ 654] 0x3ab6dd40: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3ab6dd60, d1ruAl) 'RIL buffer'
