Relocatable heap version 4 found at 0x2f000000
total space allocated is 236M, with 234M relocatable, 2.3M legacy and 0 offline
1 legacy blocks of size 2359296

free list at 0x3d97d260
183M free memory in 6 free block(s)
largest free block is 183M bytes

0x2f000000: legacy block 2.3M
0x2f240000: free 183M
[ 235] 0x3b2d3c60: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3b2d3c80, d1ruAl) 'RIL buffer'
[ 234] 0x3b2e7ca0: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3b2e7cc0, d1ruAl) 'RIL buffer'
[  82] 0x3b2fbce0: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3b2fbd00, d1ruAl) 'RIL buffer'
[  79] 0x3b30fd20: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3b30fd40, d1ruAl) 'RIL buffer'
[ 125] 0x3b323d60: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3b323d80, d1ruAl) 'RIL buffer'
[ 197] 0x3b337da0: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3b337dc0, d1ruAl) 'RIL buffer'
[ 144] 0x3b34bde0: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3b34be00, d1ruAl) 'RIL buffer'
[ 135] 0x3b35fe20: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3b35fe40, d1ruAl) 'RIL buffer'
[ 319] 0x3b373e60: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3b373e80, d1ruAl) 'RIL buffer'
[ 318] 0x3b387ea0: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3b387ec0, d1ruAl) 'RIL buffer'
[  19] 0x3b39bee0: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3b39bf00, d1ruAl) 'RIL buffer'
[  40] 0x3b3aff20: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3b3aff40, d1ruAl) 'RIL buffer'
[ 134] 0x3b3c3f60: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3b3c3f80, d1ruAl) 'RIL buffer'
